link,product_name,Keyword,province,star_review,amount_rating,amount_sold,product_list,product_size_ml,original_price,discount_price,per_discount,store,recom_or_official,marketplace,suggestion,web-scraper-start-url,region,itemid,shopid
https://shopee.co.th/%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87-%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B9%84%E0%B8%82%E0%B8%A1%E0%B8%B1%E0%B8%99-%E0%B8%A2%E0%B8%81%E0%B8%A5%E0%B8%B1%E0%B8%87-i.216885961.22945990769?sp_atk=15556574-fa72-44d7-b91e-b49b478f2f3b&xptdk=15556574-fa72-44d7-b91e-b49b478f2f3b,เส้นไข่ขาว ไร้แป้ง ไร้ไขมัน ยกลัง,เส้นไข่ขาว,จังหวัดกรุงเทพมหานคร,4.9,,ขายแล้ว 60 ชิ้น,,,,,,hidailythailand,,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=22945990769&shopid=216885961,,,22945990769,216885961
https://shopee.co.th/Eggyday-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%A1%E0%B8%99-%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%84%E0%B8%B5%E0%B9%82%E0%B8%95-keto-Egg-White-Noodles-i.257926112.23960078625?sp_atk=15f8bca2-44f2-424b-ba94-ef3a05ad3039&xptdk=15f8bca2-44f2-424b-ba94-ef3a05ad3039,Eggyday เส้นโปรตีนไข่ขาว เส้นไข่ขาวไร้แป้ง แบบเส้นหมี่ เส้นราเมน และข้าว เส้นคีโต  keto Egg White Noodles,"เส้นไข่ขาว, โปรตีนไข่ขาว",จังหวัดกรุงเทพมหานคร,4.9,,ขายแล้ว 2.6พัน ชิ้น,"เส้นหมี่ (Eggy01), เส้นราเมน (Eggy02), ข้าวไข่ขาว (Eggy03)",,89.0,69.0,-22%,Sikadeer keto clean  food,official,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=23960078625&shopid=257926112,,,23960078625,257926112
https://shopee.co.th/Shopee-Special-Set-3-%E0%B8%8B%E0%B8%AD%E0%B8%87-eggyday-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-100g-%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%99%E0%B8%AA%E0%B8%B9%E0%B8%87-%E0%B8%AD%E0%B8%A3%E0%B9%88%E0%B8%AD%E0%B8%A2-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%84%E0%B8%B2%E0%B8%A7-%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87-Keto-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%97%E0%B8%B2%E0%B8%99-i.409662674.13875983240?sp_atk=3b8e918e-beae-4633-b8c5-a60fb9190703&xptdk=3b8e918e-beae-4633-b8c5-a60fb9190703,Shopee Special Set 3 ซอง eggyday เส้นโปรตีนไข่ขาว 100g โปรตีนสูง อร่อย ไม่คาว ไร้แป้ง Keto พร้อมทาน,โปรตีนไข่ขาว,จังหวัดกรุงเทพมหานคร,4.9,,ขายแล้ว 2พัน ชิ้น,"หมี่ 3 ซอง, หมี่ 2+ราเมน 1, ราเมน 2+หมี่ 1, ราเมน 3 ซอง",,237.0,237.0,,Eggyday Official Shop,official,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=13875983240&shopid=409662674,,,13875983240,409662674
https://shopee.co.th/%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-Nimnim-%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87-%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B9%84%E0%B8%82%E0%B8%A1%E0%B8%B1%E0%B8%99-%E0%B8%84%E0%B8%B5%E0%B9%82%E0%B8%95%E0%B8%97%E0%B8%B2%E0%B8%99%E0%B9%84%E0%B8%94%E0%B9%89-i.9921141.9805041197?sp_atk=1936c12a-4c94-4c3e-813a-3ca675c92d7a&xptdk=1936c12a-4c94-4c3e-813a-3ca675c92d7a,เส้นโปรตีนไข่ขาว Nimnim ไร้แป้ง ไร้ไขมัน คีโตทานได้,โปรตีนไข่ขาว,จังหวัดกรุงเทพมหานคร,4.8,,ขายแล้ว 1.9พัน ชิ้น,,,85.0,85.0,,All natuur,,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=9805041197&shopid=9921141,,,9805041197,9921141
https://shopee.co.th/-%E0%B8%A2%E0%B8%81%E0%B8%A5%E0%B8%B1%E0%B8%87-12-%E0%B8%82%E0%B8%A7%E0%B8%94-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%94%E0%B8%B7%E0%B9%88%E0%B8%A1%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B8%99%E0%B8%A1%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B8%A3%E0%B8%AA%E0%B8%A7%E0%B8%B2%E0%B8%99%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B8%B2-180-%E0%B8%A1%E0%B8%A5.-%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%99%E0%B8%B0-i.1040490139.25921903204?sp_atk=d5f1b766-2aea-4569-9a33-085798fb2245&xptdk=d5f1b766-2aea-4569-9a33-085798fb2245,[ ยกลัง 12 ขวด ]เครื่องดื่มโปรตีนไข่ขาว นมไข่ขาว รสวานิลลา 180 มล. ตรามินนะ,โปรตีนไข่ขาว,จังหวัดกรุงเทพมหานคร,4.8,,ขายแล้ว 30 ชิ้น,,,1025.0,850.0,-17%,minnafoods / มินนะฟู้ดส์,,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=25921903204&shopid=1040490139,,,25921903204,1040490139
https://shopee.co.th/Eggyday-(%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%81%E0%B8%B5%E0%B9%89%E0%B9%80%E0%B8%94%E0%B8%A2%E0%B9%8C)-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%97%E0%B8%B2%E0%B8%99-100g.-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%95%E0%B8%B2%E0%B8%A5-%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87-%E0%B8%84%E0%B8%B5%E0%B9%82%E0%B8%95%E0%B8%97%E0%B8%B2%E0%B8%99%E0%B9%84%E0%B8%94%E0%B9%89-i.701691260.28003867153?sp_atk=7759807a-d9f8-49d9-8d5b-656a304e29b6&xptdk=7759807a-d9f8-49d9-8d5b-656a304e29b6,Eggyday (เอกกี้เดย์) เส้นราเมนโปรตีนไข่ขาว เส้นหมี่ไข่ขาว ข้าวไข่ขาว พร้อมทาน 100g. ไม่มีน้ำตาล ไร้แป้ง คีโตทานได้,"โปรตีนไข่ขาว, เส้นหมี่ไข่ขาว, ข้าวไข่ขาว",จังหวัดกรุงเทพมหานคร,5.0,,ขายแล้ว 20 ชิ้น,"เส้นราเมนไข่ขาว, เส้นหมี่ ไข่ขาว, ข้าวไข่ขาว",,75.0,65.0,-13%,EiEi_SHOP,,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=28003867153&shopid=701691260,,,28003867153,701691260
https://shopee.co.th/%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%AA%E0%B8%9B%E0%B8%B2%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95%E0%B8%95%E0%B8%B5%E0%B9%89%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%84%E0%B8%B5%E0%B9%82%E0%B8%95%E0%B8%99-nimnim-%E0%B8%99%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B8%99%E0%B8%B4%E0%B9%88%E0%B8%A1-%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%95%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-100-%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%99%E0%B9%81%E0%B8%99%E0%B9%88%E0%B8%99-i.865192062.19464002120?sp_atk=16120772-bbc8-4aff-9423-aa829dbae6c0&xptdk=16120772-bbc8-4aff-9423-aa829dbae6c0,เส้นไข่ขาว เส้นหมี่ไข่ขาว เส้นสปาเก็ตตี้ไข่ขาว เส้นคีโตน nimnim นิ่มนิ่ม ล็อตใหม่ เส้นไข่ขาว 100% โปรตีนแน่น,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว",จังหวัดกรุงเทพมหานคร,4.9,,ขายแล้ว 2.6พัน ชิ้น,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว, เส้นสปาเก็ตตี้ไข่ขาว",,86.0,69.0,-19%,Rich Healthcare Official,official,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=19464002120&shopid=865192062,,,19464002120,865192062
https://shopee.co.th/%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B9%81%E0%B8%9B%E0%B9%89%E0%B8%87-%E0%B8%97%E0%B8%B3%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-(%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%AA%E0%B9%88%E0%B8%87)-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%82%E0%B8%99%E0%B8%A1%E0%B8%88%E0%B8%B5%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-i.416112910.13458894301?sp_atk=84f905b0-f133-45af-90dc-af3e2d1f9b83&xptdk=84f905b0-f133-45af-90dc-af3e2d1f9b83,เส้นไร้แป้ง ทำจากไข่ขาว (ราคาส่ง) เส้นหมี่ไข่ขาว เส้นขนมจีนไข่ขาว,เส้นหมี่ไข่ขาว,จังหวัดกรุงเทพมหานคร,4.9,,ขายแล้ว 1พัน ชิ้น,"หมี่ 10 ซอง, ราเมน 10 ซอง, หมี่5ซอง/ราเมน5ซอง, ข้าวไข่ขาว10ซอง, ข้าว3ซอง, เส้นหมี่3ซอง",,237.0,237.0,,brill.official.th,recom,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=13458894301&shopid=416112910,,,13458894301,416112910
https://shopee.co.th/%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7%E0%B8%A2%E0%B8%81%E0%B8%A5%E0%B8%B1%E0%B8%87-(50%E0%B8%96%E0%B8%B8%E0%B8%87)-%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9-i.216885961.20181075001?sp_atk=7911f80c-8e5c-40ec-9a0b-79d6cf3f94f4&xptdk=7911f80c-8e5c-40ec-9a0b-79d6cf3f94f4,เส้นหมี่ไข่ขาวยกลัง (50ถุง) ราคาพิเศษ,เส้นหมี่ไข่ขาว,จังหวัดกรุงเทพมหานคร,5.0,,ขายแล้ว 41 ชิ้น,,,,,,hidailythailand,,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=20181075001&shopid=216885961,,,20181075001,216885961
https://shopee.co.th/KETO-%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B8%AA%E0%B8%9B%E0%B8%B2%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95%E0%B8%95%E0%B8%95%E0%B8%B5%E0%B9%89-%E0%B8%A3%E0%B8%AA%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%B5-%E0%B8%AD%E0%B8%A3%E0%B9%88%E0%B8%AD%E0%B8%A2-%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B8%B5-%F0%9F%94%A5-i.361767536.10538035087?sp_atk=13b0074c-82fd-45c2-8153-0f13819ab26c&xptdk=13b0074c-82fd-45c2-8153-0f13819ab26c,KETO ราคาส่งเส้นไข่ขาว เส้นหมี่ไข่ขาว สปาเก็ตตตี้ รสชาติดี อร่อย ขายดี 🔥,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว",จังหวัดปทุมธานี,4.9,,ขายแล้ว 12.9พัน ชิ้น,"เส้นไข่ขาว 42A, เส้นหมี่ไข่ขาว 43A, สปาเก็ตตี้ไข่ขาว 44A, ผงไนซ กลมกล่อม 32N, วุ้นเส้นมะพร้าว 23A, วุ้นเส้นมะพร้าว 24A, ไข่มุกจากไข่ขาว 60A, บุก280 กรัม 4A, บุก160 กรัม 8A, บุกเส้นกลม 9A, บุกเส้นแบน 11A, อัลมอนด์ผสมชาโคล 61A, บะหมี่อัลมอนด์ 62A, อัลมอนด์ผสมเคล 63A, เส้นหมี่ไข่ขาว 65A, เส้นราเมงไข่ขาว 66A",,30.0,30.0,,Wellness Healthy Shop,,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=10538035087&shopid=361767536,,,10538035087,361767536
https://shopee.co.th/%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7%E0%B8%84%E0%B8%A5%E0%B8%B0%E0%B9%81%E0%B8%9A%E0%B8%9A-10-%E0%B8%AB%E0%B9%88%E0%B8%AD-i.216885961.22647508226?sp_atk=bfc10035-3861-4af1-88f7-ba09773c4654&xptdk=bfc10035-3861-4af1-88f7-ba09773c4654,เส้นไข่ขาวคละแบบ 10 ห่อ,เส้นไข่ขาว,จังหวัดกรุงเทพมหานคร,4.9,,ขายแล้ว 79 ชิ้น,,,690.0,690.0,,hidailythailand,,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=22647508226&shopid=216885961,,,22647508226,216885961
https://shopee.co.th/Nim-nim-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-KETO-(%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99-100g.)-%E0%B8%A1%E0%B8%B5-3-%E0%B9%81%E0%B8%9A%E0%B8%9A-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%97%E0%B8%B2%E0%B8%99-i.667080308.20104318496?sp_atk=bd032c58-a04b-47ee-856b-fd0055618f3d&xptdk=bd032c58-a04b-47ee-856b-fd0055618f3d,Nim nim เส้นไข่ขาว เส้นหมี่ไข่ขาว KETO (น้ำหนักเส้น 100g.) มี 3 แบบ เส้นพร้อมทาน,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว",จังหวัดกรุงเทพมหานคร,4.9,,ขายแล้ว 640 ชิ้น,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว, สปาเก็ตตี้ไร้แป้ง",,69.0,69.0,,Virtue,recom,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=20104318496&shopid=667080308,,,20104318496,667080308
https://shopee.co.th/Eggyday-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%82%E0%B8%B2%E0%B8%A7-100-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-(%E0%B9%80%E0%B8%AD%E0%B9%89%E0%B8%81%E0%B8%81%E0%B8%B5%E0%B9%89%E0%B9%80%E0%B8%94%E0%B8%A2%E0%B9%8C)-i.115168913.23736303340?sp_atk=98e77217-dcc0-4f3b-8886-42ce7039183d&xptdk=98e77217-dcc0-4f3b-8886-42ce7039183d,Eggyday  เส้นไข่ขาว 100 กรัม (เอ้กกี้เดย์),เส้นไข่ขาว,จังหวัดสมุทรปราการ,4.8,,ขายแล้ว 234 ชิ้น,"เส้นหมี่ไข่ขาว, เส้นราเมน EXP11/24, ไข่ขาวรูปข้าว",,80.0,69.0,-13%,sabuyjai.shop(ร้านสบายใจ),recom,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=23736303340&shopid=115168913,,,23736303340,115168913
